year,ev_type,count,make_list,model_list,make_count,model_count
2011,Battery Electric Vehicle (BEV),1887,"['AZURE DYNAMICS' 'CHEVROLET' 'FORD' 'GEM' 'HONDA' 'MILES' 'SMART'
 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO'
 'TOYOTA']","['EV PLUS' 'FORTWO' 'GEM' 'MILES ZX40ST' 'RANGER' 'RAV4' 'ROADSTER'
 'S-10 PICKUP' 'SMITH ELECTRIC VEHICLES' 'TRANSIT CONNECT ELECTRIC'
 'ZX50S AD']",11,11
2011,Plug-in Hybrid Electric Vehicle (PHEV),54,['CHEVROLET'],['VOLT'],1,1
2012,Battery Electric Vehicle (BEV),1901,"['AZURE DYNAMICS' 'BMW' 'CHEVROLET' 'FORD' 'GEM' 'HONDA' 'MILES' 'NISSAN'
 'SMART' 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA']","['ACTIVE E' 'CITY' 'EV PLUS' 'FORTWO' 'GEM' 'LEAF' 'MILES ZX40ST' 'RANGER'
 'RAV4' 'ROADSTER' 'S-10 PICKUP' 'SMITH ELECTRIC VEHICLES'
 'TRANSIT CONNECT ELECTRIC' 'ZX50S AD']",14,14
2012,Plug-in Hybrid Electric Vehicle (PHEV),488,['CHEVROLET' 'FISKER' 'TOYOTA'],['KARMA' 'PRIUS' 'VOLT'],3,3
2013,Battery Electric Vehicle (BEV),2251,"['AZURE DYNAMICS' 'BMW' 'CHEVROLET' 'CODA' 'FORD' 'GEM' 'HONDA' 'MILES'
 'MITSUBISHI' 'NISSAN' 'POLARIS' 'PROTERRA' 'SMART'
 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA']","['ACTIVE E' 'CITY' 'CODA' 'EV PLUS' 'FOCUS' 'FORTWO' 'GEM' 'I-MIEV' 'LEAF'
 'MILES ZX40ST' 'MODEL S' 'RANGER' 'RAV4' 'ROADSTER' 'S-10 PICKUP'
 'SMITH ELECTRIC VEHICLES' 'TRANSIT BUS' 'TRANSIT CONNECT ELECTRIC'
 'ZX50S AD']",18,19
2013,Plug-in Hybrid Electric Vehicle (PHEV),2664,['CHEVROLET' 'FISKER' 'FORD' 'HONDA' 'TOYOTA'],['ACCORD' 'C-MAX' 'KARMA' 'PRIUS PLUG-IN' 'VOLT'],5,5
2014,Battery Electric Vehicle (BEV),12590,"['AZURE DYNAMICS' 'BMW' 'BYD' 'CHEVROLET' 'CODA'
 'ELECTRIC VEHICLES INTERNATIONAL' 'FORD' 'GEM' 'HONDA' 'MILES'
 'MITSUBISHI' 'NISSAN' 'POLARIS' 'PROTERRA' 'SMART'
 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA' 'WHEEGO ELECTRIC CARS']","['ACTIVE E' 'CITY' 'CODA' 'E6' 'EV PLUS' 'FIT' 'FOCUS' 'FORTWO'
 'FORTWO ELECTRIC DRIVE' 'FREIGHTLINER M2' 'GEM' 'I-MIEV' 'LEAF'
 'MILES ZX40ST' 'MODEL S' 'RANGER' 'RAV4' 'ROADSTER' 'S-10 PICKUP'
 'SMITH ELECTRIC VEHICLES' 'TRANSIT BUS' 'TRANSIT CONNECT ELECTRIC'
 'WHEEGO' 'ZX50S AD']",21,24
2014,Plug-in Hybrid Electric Vehicle (PHEV),16125,['CADILLAC' 'CHEVROLET' 'FISKER' 'FORD' 'HONDA' 'PORSCHE' 'TOYOTA'],['ACCORD' 'C-MAX' 'ELR' 'FUSION' 'KARMA' 'PANAMERA' 'PRIUS PLUG-IN' 'VOLT'],7,8
2015,Battery Electric Vehicle (BEV),10407,"['AZURE DYNAMICS' 'BMW' 'BYD' 'CHEVROLET' 'CODA'
 'ELECTRIC VEHICLES INTERNATIONAL' 'FORD' 'GEM' 'HONDA'
 'INDIAN MOTORCYCLE' 'KIA' 'MERCEDES-BENZ' 'MILES' 'MITSUBISHI' 'NISSAN'
 'POLARIS' 'PROTERRA' 'SMART' 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA' 'VOLKSWAGEN'
 'WHEEGO ELECTRIC CARS']","['ACTIVE E' 'B-CLASS' 'CITY' 'CODA' 'E-GOLF' 'E6' 'EV PLUS' 'FIT' 'FOCUS'
 'FORTWO' 'FORTWO ELECTRIC DRIVE' 'FREIGHTLINER M2' 'GEM' 'I-MIEV' 'I3'
 'LEAF' 'MILES ZX40ST' 'MODEL S' 'MODEL X' 'RANGER' 'RAV4' 'ROADSTER'
 'S-10 PICKUP' 'SMITH ELECTRIC VEHICLES' 'SOUL' 'SPARK' 'TRANSIT BUS'
 'TRANSIT CONNECT ELECTRIC' 'WHEEGO' 'ZX50S AD']",25,30
2015,Plug-in Hybrid Electric Vehicle (PHEV),16943,"['BMW' 'CADILLAC' 'CHEVROLET' 'FISKER' 'FORD' 'HONDA' 'HYUNDAI' 'MCLAREN'
 'PORSCHE' 'TOYOTA']","['918' 'ACCORD' 'C-MAX' 'CAYENNE' 'ELR' 'FUSION' 'I3' 'I8' 'KARMA' 'P1'
 'PANAMERA' 'PRIUS PLUG-IN' 'SONATA' 'VOLT' 'X5']",10,15
2016,Battery Electric Vehicle (BEV),38832,"['AZURE DYNAMICS' 'BMW' 'CHEVROLET' 'CODA'
 'ELECTRIC VEHICLES INTERNATIONAL' 'FIAT' 'FORD' 'GEM' 'HONDA'
 'INDIAN MOTORCYCLE' 'KIA' 'MERCEDES-BENZ' 'MILES' 'MITSUBISHI' 'NISSAN'
 'POLARIS' 'PROTERRA' 'SMART' 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA' 'VOLKSWAGEN'
 'WHEEGO ELECTRIC CARS']","['500' 'B-CLASS' 'CITY' 'CODA' 'E-GOLF' 'FIT' 'FOCUS' 'FORTWO'
 'FORTWO ELECTRIC DRIVE' 'FREIGHTLINER M2' 'GEM' 'I-MIEV' 'I3' 'LEAF'
 'MILES ZX40ST' 'MODEL S' 'MODEL X' 'RANGER' 'RAV4' 'ROADSTER'
 'SMITH ELECTRIC VEHICLES' 'SOUL' 'SPARK' 'TRANSIT BUS'
 'TRANSIT CONNECT ELECTRIC' 'WHEEGO' 'ZX50S AD']",25,27
2016,Plug-in Hybrid Electric Vehicle (PHEV),69288,"['AUDI' 'BMW' 'CADILLAC' 'CHEVROLET' 'FISKER' 'FORD' 'HONDA' 'HYUNDAI'
 'MCLAREN' 'MERCEDES-BENZ' 'PORSCHE' 'TOYOTA' 'VOLVO']","['330E' '740E' '918' 'A3' 'ACCORD' 'C-MAX' 'CAYENNE' 'ELR' 'FUSION'
 'GLE-CLASS' 'I3' 'I8' 'KARMA' 'P1' 'PANAMERA' 'PRIUS PLUG-IN'
 'PRIUS PRIME' 'SONATA' 'VOLT' 'X5' 'XC90']",13,21
2017,Battery Electric Vehicle (BEV),107537,"['AZURE DYNAMICS' 'BMW' 'BYD' 'CHEVROLET' 'CODA' 'FIAT' 'FORD' 'GEM'
 'HONDA' 'INDIAN MOTORCYCLE' 'KIA' 'MERCEDES-BENZ' 'MILES' 'MITSUBISHI'
 'NEW FLYER' 'NISSAN' 'ORANGE EV LLC' 'POLARIS' 'PROTERRA' 'SMART'
 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TOYOTA' 'VOLKSWAGEN'
 'WHEEGO ELECTRIC CARS']","['500' 'B-CLASS' 'BOLT EV' 'CODA' 'E-GOLF' 'E6' 'EQ FORTWO' 'FIT' 'FOCUS'
 'FORTWO' 'FORTWO ELECTRIC DRIVE' 'GEM' 'I-MIEV' 'I3' 'LEAF' 'MODEL 3'
 'MODEL S' 'MODEL X' 'RAV4' 'ROADSTER' 'SMITH ELECTRIC VEHICLES' 'SOUL'
 'SOUL EV' 'SPARK' 'T-SERIES PURE ELECTRIC TERMINAL TRUCK' 'TRANSIT BUS'
 'TRANSIT CONNECT ELECTRIC' 'WHEEGO' 'XCELSIOR' 'ZX50S AD']",25,30
2017,Plug-in Hybrid Electric Vehicle (PHEV),191006,"['AUDI' 'BMW' 'CADILLAC' 'CHEVROLET' 'CHRYSLER' 'FISKER' 'FORD' 'HONDA'
 'HYUNDAI' 'KIA' 'MCLAREN' 'MERCEDES-BENZ' 'MINI' 'PORSCHE' 'TOYOTA'
 'VOLVO' 'WORKHORSE']","['330E' '530E' '740E' '918' 'A3' 'ACCORD' 'C-MAX' 'CAYENNE' 'CLARITY'
 'COUNTRYMAN' 'CT6' 'E-GEN PLUG IN HYBRID' 'ELR' 'FUSION' 'GLE-CLASS' 'I3'
 'I8' 'KARMA' 'NIRO' 'OPTIMA' 'P1' 'PACIFICA' 'PANAMERA' 'PRIUS PLUG-IN'
 'PRIUS PRIME' 'S-CLASS' 'S90' 'SONATA' 'VOLT' 'X5' 'XC60' 'XC90']",17,32
2018,Battery Electric Vehicle (BEV),210389,"['AZURE DYNAMICS' 'BMW' 'BYD' 'CHANJE' 'CHEVROLET' 'CODA' 'FIAT' 'FORD'
 'GEM' 'HONDA' 'HYUNDAI' 'JAGUAR' 'KIA' 'LION' 'MERCEDES-BENZ'
 'MITSUBISHI' 'MITSUBISHI FUSO' 'NEW FLYER' 'NISSAN' 'ORANGE EV LLC'
 'POLARIS' 'PROTERRA' 'SMART' 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA' 'VOLKSWAGEN'
 'WHEEGO ELECTRIC CARS']","['500' 'ASPHALT' 'B-CLASS' 'BOLT EV' 'BOLT INCOMPLETE' 'CHANJE TRUCK'
 'CITY' 'CODA' 'E-GOLF' 'E6' 'EQ FORTWO' 'FEC7US / ECANTER' 'FIT' 'FOCUS'
 'FORTWO' 'FORTWO ELECTRIC DRIVE' 'GEM' 'I-MIEV' 'I-PACE' 'I3' 'IONIQ'
 'LEAF' 'LIONC (V1)' 'MILES ZX40ST' 'MODEL 3' 'MODEL S' 'MODEL X' 'RANGER'
 'RAV4' 'ROADSTER' 'SMITH ELECTRIC VEHICLES' 'SOUL' 'SOUL EV' 'SPARK'
 'T-SERIES PURE ELECTRIC TERMINAL TRUCK' 'TRANSIT BUS'
 'TRANSIT CONNECT ELECTRIC' 'WHEEGO' 'XCELSIOR']",30,39
2018,Plug-in Hybrid Electric Vehicle (PHEV),327191,"['AUDI' 'BMW' 'CADILLAC' 'CHEVROLET' 'CHRYSLER' 'FISKER' 'FORD' 'HONDA'
 'HYUNDAI' 'KARMA' 'KIA' 'MCLAREN' 'MERCEDES-BENZ' 'MINI' 'MITSUBISHI'
 'PORSCHE' 'TOYOTA' 'VOLVO' 'WORKHORSE']","['330E' '530E' '740E' '918' 'A3' 'ACCORD' 'C-CLASS' 'C-MAX' 'CAYENNE'
 'CLARITY' 'COUNTRYMAN' 'CT6' 'E-GEN PLUG IN HYBRID' 'ELR' 'FUSION'
 'GLC-CLASS' 'GLE-CLASS' 'I3' 'I8' 'IONIQ' 'KARMA' 'NIRO' 'OPTIMA'
 'OUTLANDER' 'P1' 'PACIFICA' 'PANAMERA' 'PRIUS PLUG-IN' 'PRIUS PRIME'
 'REVERO' 'S-CLASS' 'S90' 'SONATA' 'VOLT' 'X5' 'XC60' 'XC90']",19,37
2019,Battery Electric Vehicle (BEV),280052,"['AUDI' 'AZURE DYNAMICS' 'BLUE BIRD' 'BMW' 'CHEVROLET' 'CODA' 'FIAT'
 'FORD' 'GEM' 'HONDA' 'HYUNDAI' 'JAGUAR' 'KIA' 'LION' 'MERCEDES-BENZ'
 'MITSUBISHI' 'MITSUBISHI FUSO' 'NEW FLYER' 'NISSAN' 'ORANGE EV LLC'
 'POLARIS' 'PORSCHE' 'PROTERRA' 'SMART' 'SMITH ELECTRIC VEHICLES' 'TESLA'
 'TH!NK' 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA' 'VOLKSWAGEN']","['500' 'ASPHALT' 'B-CLASS' 'BB CONVENTIONAL' 'BOLT EV' 'BOLT INCOMPLETE'
 'CITY' 'CODA' 'E-GOLF' 'E-TRON' 'EQ FORTWO' 'FEC7US / ECANTER' 'FIT'
 'FOCUS' 'FORTWO' 'FORTWO ELECTRIC DRIVE' 'GEM' 'I-MIEV' 'I-PACE' 'I3'
 'IONIQ' 'KONA' 'LEAF' 'LIONC (V1)' 'MILES ZX40ST' 'MODEL 3' 'MODEL S'
 'MODEL X' 'NIRO' 'RAV4' 'ROADSTER' 'SMITH ELECTRIC VEHICLES' 'SOUL'
 'SOUL EV' 'SPARK' 'T-SERIES PURE ELECTRIC TERMINAL TRUCK' 'TAYCAN'
 'TRANSIT BUS' 'TRANSIT CONNECT ELECTRIC' 'XCELSIOR']",30,40
